EventName,Year,Entries,Segment,Disposition,SourceFile
Loro Piana Giraglia 2025,2025,122,Premier Race,new event,2025\6. June\Loro Piana Giraglia Marketshare 2025.xlsx
Kiel Week,2026,119,Premier Race,new event,2026\6. June\🔷Kiel Week [June 20-24].xlsx
Chester Race Week,2024,118,Premier Race,new event,August Marketshares 2024\Chester Race Week [Aug 13 - 17].xlsx
RORC - Middle Sea,2024,116,Premier Race,new event,August Marketshares 2024\RORC - Middle Sea Marketshare v2.xlsx
Palma Vela,2025,113,Premier Race,new event,2025\5. May\Palma Vela (May1-4).xlsx
NYYC Annual Regatta,2026,106,Premier Race,new event,2026\6. June\NYYC Annual Regatta [12-14].xlsx
Copa del Rey MAPFRE,2026,102,Premier Race,new event,2026\8. August\Copa del Rey MAPFRE.xlsx
Aegean 600,2025,96,Premier Race,new event,2026\7. July\Aegean 600 Marketshare.xlsx
PalmaVela,2026,89,Premier Race,new event,2026\4. April\PalmaVela [April 23-May 3].xlsx
Poole IRC European Championships,2026,86,Premier Race,match-or-discard,2026\5. May\Poole IRC European Championships [May 21-25].xlsx
Rolex Middle Sea Race 2025,2025,85,Premier Race,match-or-discard,2025\9. September\Rolex Middle Sea Race 2025.xlsx
Rolex Big Boat Series,2026,83,Premier Race,new event,2026\9. September\Rolex Big Boat Series [Sep 16-20].xlsx
Aegean 600,2026,80,Premier Race,new event,2026\7. July\Aegean 600 Marketshare.xlsx
Round Britain and Ireland Race,2026,77,Premier Race,match-or-discard,2026\8. August\Round Britain and Ireland Race [Aug 9].xlsx
Kiel Week Annual,2025,71,Premier Race,new event,2025\6. June\Kiel Week Marketshare Annual.xlsx
Rolex Big Boat Series,2025,71,Premier Race,new event,2025\9. September\Rolex Big Boat Series [Sep 10-14].xlsx
Les Voiles d’Antibes,2026,66,Premier Race,new event,2026\5. May\Les Voiles d’Antibes [May 27-31].xlsx
Swiftsure,2026,64,Premier Race,new event,2026\5. May\🔷Swiftsure [May 23-24].xlsx
Les Voiles D'Antibes 2025,2025,61,Premier Race,new event,2025\6. June\Les Voiles D'Antibes Marketshare 2025.xlsx
TRANSPAC 2025,2025,58,Premier Race,new event,2025\7. July\TRANSPAC 2025 [July 1].xlsx
Newport Regatta,2025,57,Premier Race,new event,2025\7. July\Newport Regatta [July 12-13].xlsx
2026 RORC Caribbean 600,2026,52,Premier Race,new event,2026\2. February\2026 RORC Caribbean 600 [Feb 23].xlsx
RORC & IMA Transatlantic Race,2026,41,Premier Race,new event,2026\1. January\RORC & IMA Transatlantic Race.xlsx
Edgartown YC Around the Island Race June 21,2025,39,Premier Race,match-or-discard,2025\6. June\Edgartown YC Around the Island Race June 21.xlsx
